code,Barcode,name,Compcode,Compname,Pack,Unit,Location,Expiry,Generic,Saltcode,Strength,saltcode1,Strength1,saltcode2,Strength2,saltcode3,Strength3,Saltcode4,Strength4,Saltcode5,Strength5,Substitute,Saltno,Prate,Tsr,Psc,ptax,Excise,Scm1,scm2,Srate,Sc,Saletype,Stax,Wsrate,Add_sc,Add_tsr,Costrate,opqty,Clqty,status,Vdt,Batchcode,cname_bc,Defqty,BarcodeQty,splrate,Mrp,Ssc,WsNet,SplNet,Hscm,Box,CommonItem,Sscm1,FDis,Sscm2,FDisP,currentScm,ScmFrom,ScmTo,CurrScm1,CurrScm2,TrimName,PresReq,Division,QScm,SconMrp,VAT,Margin,Inclusive,ItemCat,Gdn,PRateCase,PRateBox,Desc1,Desc2,MinQty,MaxQty,ItCase,TRate,Wr,Pic,Mfg,TempOpqty,TempClqty,TempAmt,TempAmt1,TempAmt2,TaxonMrp,ScmPer,IWeight,SubStrenght,ItemRef,MaxInvQty,MaxQtyWr,OpFreeQty,VATonSrate,Exon,ExPer,UnitType,MfgQty,mTag,DisContinue,MfgBy,Vol,VDisP,VDisS,FDisWR,LastYearCost,OpAddQty,SaleLessQty,SplDisQty,SplDisPer,MinGP,LockScm,FullName,RateLock,MinRate,PurExciseAsRate,PurNetRate,CostWFQ,LockBilling,SameBatchCost,EsCode,FdisPWS,ItemType,ItemGroup,HSNCode,CGST,SGST,IGST,GSTCess,IucCode,Flag,miscsettings,SyncMark
1,00001,PIOLET M 15mg,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,42.50,0.00,0.00,0.00,0.00,0,0,42.50,0.00,1,0.00,0.00,N,N,38.25,0,0,,09-Jul-08,N,Y,N,0,$0.00,$55.20,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,PIOLETM15mg,N,SUPRIMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,,,0,0,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,PIOLET M 15mg,1,0,0,0,38.25,N,38.25,0,,00,0,,0,0,0,0,,,,
2,00002,MEFLOTAS,1,INTAS,1*2,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,70.18,0.00,0.00,0.00,0.00,0,0,77.98,0.00,1,0.00,0.00,N,N,70.18,6,0,,09-Jul-08,N,Y,N,0,$0.00,$109.17,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,MEFLOTAS,N,PHARMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLMEFLOTB025000,,-6,-6,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,MEFLOTAS,1,0,0,0,70.18,N,63.86,0,,00,0,30049066,6,6,12,0,,,,
3,00005,CLAVIX-AS-75,1,INTAS,1*15,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,64.93,0.00,0.00,0.00,0.00,0,0,72.14,0.00,1,0.00,0.00,N,N,64.93,225,276,,09-Jul-08,N,Y,N,0,$0.00,$101.00,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,CLAVIXAS75,N,VECTOR,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLCLAVITB007501,,167,155,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,CLAVIX-AS-75,1,0,0,0,64.93,N,34.71,0,,00,0,30049099,6,6,12,0,,,,
4,00006,VENTAB XL 75,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,99.64,0.00,0.00,0.00,0.00,0,0,110.71,0.00,1,0.00,0.00,N,N,99.64,71,61,,09-Jul-08,N,Y,N,0,$0.00,$155.00,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,VENTABXL75,N,AVANTA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLVENTATB007501,,42,43,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,VENTAB XL 75,1,0,0,0,99.64,N,48.86,0,0,00,0,30049099,6,6,12,0,,,,
5,00007,INTALITH CR 450 MG TAB.,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,30.54,0.00,0.00,0.00,0.00,0,0,33.93,0.00,1,0.00,0.00,N,N,30.54,286,231,,09-Jul-08,N,Y,N,0,$0.00,$47.50,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,INTALITHCR450MGTAB,N,ALTIMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLINTALTB045000,,150,93,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,INTALITH CR 450 MG TAB.,1,0,0,0,30.54,N,16.71,0,0,00,0,30049099,6,6,12,0,,,,
6,00008,DIVAA-125,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,20.25,0.00,0.00,0.00,0.00,0,0,22.50,0.00,1,0.00,0.00,N,N,20.25,21,0,,09-Jul-08,N,Y,N,0,$0.00,$31.50,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,DIVAA125,N,AQUILA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLDIVAATB012500,,21,21,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,DIVAA-125,1,0,0,0,20.25,N,18.64,0,,00,0,30049082,6,6,12,0,,,,
7,00009,DOMEL-MT,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,27.32,0.00,0.00,0.00,0.00,0,0,27.32,0.00,1,0.00,0.00,N,N,24.59,0,0,,09-Jul-08,N,Y,N,0,$0.00,$35.50,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,DOMELMT,N,ALERON,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLDOMELTBXXXX00,,0,0,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,DOMEL-MT,1,0,0,0,24.59,N,24.59,0,,00,0,30049039,6,6,12,0,,,,
8,00011,CEFTAS-100 MG TAB.,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,55.93,0.00,0.00,0.00,0.00,0,0,62.14,0.00,1,0.00,0.00,N,N,55.93,40,19,,09-Jul-08,N,Y,N,0,$0.00,$87.00,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,CEFTAS100MGTAB,N,ALAIRA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLCEFTATB010000,,33,34,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,CEFTAS-100 MG TAB.,1,0,0,0,55.93,N,34.07,0,0,00,0,30042019,6,6,12,0,,,,
9,00012,CITARA-10MG,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,24.61,0.00,0.00,0.00,0.00,0,0,25.30,0.00,1,0.00,0.00,N,N,24.61,0,0,,09-Jul-08,N,Y,N,0,$0.00,$32.10,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,CITARA10MG,N,AQUILA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,,,0,0,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,CITARA-10MG,1,0,0,0,24.61,N,24.61,0,,00,0,30049099,6,6,12,0,,,,
10,00013,DIVAA-500,1,INTAS,1*15,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,163.93,0.00,0.00,0.00,0.00,0,0,182.14,0.00,1,0.00,0.00,N,N,163.93,19,11,,09-Jul-08,N,Y,N,0,$0.00,$255.00,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,DIVAA500,N,AQUILA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLDIVAATB050003,,7,1,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,DIVAA-500,1,0,0,0,163.93,N,63.04,0,0,00,0,30049082,6,6,12,0,,,,
