PRABHAT MEDICINE COMPANY,,,
"SHOP NO. 10 & 18, CENTRAL PLAZA KHAIR NAGAR, MEERUT CITY",,,
SUPPLIER LIST,,,
S.NO,Code,Name,
1,00005,A.K.MEDICINE AGENCIES,Mob : 
,,"SHOP NO.5,DR.K.B.L.MEDICAL COMPLEX",Tel : 0121-2528124
,,KHAIR NAGAR MEERUT,"DL.NO. : UP1520B001846 , UP1521B001840"
,,,GstNo : 09ABBPK6271H1ZL
,,,Email: 
,,,
2,,AADI MEDICOSE,Mob : 
,,"PARMANAND PURAM,PRATAP",Tel : 
,,"BUILDING,SWARG ASHRAM ROAD",DL.NO. : 100/20B/GZB/2008
,,HAPUR - 245101,GstNo : 09AHWPJ0435F1Z7
,,,Email: 
,,,
3,,AADISREE MEDICAL PVT. LTD.,Mob : 
,,"G-1/108,PHASE-2 TRANSPORT",Tel : 0522-2996151
,,NAGAR KANPUR ROAD LUCKNOW,DL.NO. : LKO/FDA-3824/14
,,226012 U.P.,GstNo : 09AAMCA3112C1Z5
,,,Email: ampl_lko@yahoo.com
,,,
4,,AGARWAL ASOCIATES,Mob : 
,,12/A STATION ROAD LUCKNOW,"Tel : 0522-4043792 , 263538"
,,,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
5,,AGGARWAL SURGICALS&PHARMACEUTICALS,Mob : 
,,"SHOP NO. 3 , 1ST FLOOR CETRAL",Tel : 
,,MARKET KHAIR NAGAR MEERUT,DL.NO. : MUT-2017/20B/000375
,,,GstNo : 09AIJPK4678D1ZZ
,,,Email: 
,,,
6,,ALLENBURG HEALTHCARE,Mob : 
,,"2/86,VIRAM KHAND GOMTI NAGAR",Tel : 
,,LKUCKNOW,"DL.NO. : UP3220B004204 , UP3221B004185"
,,,GstNo : 09AKNPA7509H1Z1
,,,Email: 
,,,
7,,AMAN PHARMA,Mob : 
,,I-385 SHASTRI NAGAR MEERUT U.P,Tel : 09897766666
,,250004,"DL.NO. : MRT-20B-118/14,MRT-21B-118/14"
,,,GstNo : 09AKSPK4725C1Z0
,,,Email: 
,,,
8,,AMAR MEDISOLUTIONS PVT. LTD.,Mob : 
,,"3,BHAGWAN DAS QUARTERS",Tel : 
,,NEAR CLOCK TOWER DEHRADUN,"DL.NO. : UA-DEH-137245,137246,137247"
,,,GstNo : 05AAXCA0760D1ZS
,,,Email: 
,,,
9,,ANIL MEDICAL AGENCY,Mob : 
,,"27A,NEW HARIDWAR COLONY AANEAR",Tel : 
,,"DEV BHOOMI HOSPITAL,HARIDWAR",DL.NO. : 20B/UA-HRD-113783
,,UTTARAKHAND,GstNo : 05ACKPJ2370A1Z5
,,,Email: 
,,,
10,,APRICA HEALTHCARE,Mob : 
,,AHEMDABAD,Tel : 
,,,"DL.NO. : UP1520B001329 , UP1521B001321"
,,,GstNo : 09AAFFS3059Q1ZH
,,,Email: 
,,,
11,,ARPIT DRUG DISTRIBUTORS,Mob : 
,,"D-5 MEERUT ROAD,INDUSTRIAL",Tel : 01202723934
,,"AREA,SITE-3,GHAZIABAD U.P.","DL.NO. : 16/20B/428/03,16/21B/428/03"
,,,GstNo : 
,,,Email: arpitd5@yahoo.co.in
,,,
12,,ASHIRWAD SURGICALS & MEDICINE,Mob : 
,,"SHOP NO.21,FIRST FLOOR CENTRAL",Tel : 
,,PLAZA KHAIR NAGAR MEERUT,"DL.NO. : UP1520B002106 , UP1521B002100"
,,,GstNo : 09HLKPS8372B1ZI
,,,Email: ashirwadsurgical514@gmail.com
,,,
13,00007,ASHUTOSH MEDICOSE,Mob : 
,,UPPER INDIA COMPLEX,Tel : 
,,MEERUT,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
14,,ATHARVA PHARMA & SURGICAL,Mob : 
,,"B-10,BABA MEDI MALL",Tel : 
,,KHAIR NAGAR MEERUT,"DL.NO. : UP1520B0000723 ,UP1521B0000720"
,,,GstNo : 09ALGPT6063K1ZH
,,,Email: 
,,,
